Event #,Event Type,Gender,Class,Boat,Seats,Oars,Coxed,Other,Sponsor
1,W Mst C 2X,W,Mst C ,2X,2,Scull,N,,
2,M Mst D 1X,M,Mst D ,1X,1,Scull,N,,
3,W Mst F 4X-,W,Mst F ,4X-,4,Scull,N,,
4,W J-M 1X,W,Mst J-M ,1X,1,Scull,N,,
5,M Mst F 2X,M,Mst F ,2X,2,Scull,N,,
6,W Mst D 1X,W,Mst D ,1X,1,Scull,N,,
7,M A-C 2-,M,Mst A-C ,2-,2,Sweep,N,,
8,W Mst B 4X-,W,Mst B ,4X-,4,Scull,N,,
9,W Mst A 1X,W,Mst A ,1X,1,Scull,N,,
10,M Mst E 2-,M,Mst E ,2-,2,Sweep,N,,
12,W Mst G 2X,W,Mst G ,2X,2,Scull,N,,
14,W Mst E 4X-,W,Mst E ,4X-,4,Scull,N,,
15,M G-M 8+,M,Mst G-M ,8+,8,Sweep,Y,,
19E,W MNw 4X+ (E),W,Mst MNw,4X+,4,Scull,Y,Exhibition ,
19,W MNv 4X+,W,Mst MNv,4X+,4,Scull,Y,,
21,M Mst B 2X,M,Mst B ,2X,2,Scull,N,,
22E,M MNw 4X+ (E),M,Mst MNw,4X+,4,Scull,Y,Exhibition ,
22,M MNv 4X+,M,Mst MNv,4X+,4,Scull,Y,,
23,M Mst A 1X,M,Mst A ,1X,1,Scull,N,,
24,Mx G-M 2X,Mx,Mst G-M ,2X,2,Scull,N,,
25,M Mst C 1X,M,Mst C ,1X,1,Scull,N,,
26,Mx D-F 4X-,Mx,Mst D-F ,4X-,4,Scull,N,,
27,W A-C 8+,W,Mst A-C ,8+,8,Sweep,Y,,
31,M G-M 4-,M,Mst G-M ,4-,4,Sweep,N,,
32,W Mst D 2X,W,Mst D ,2X,2,Scull,N,,
34,W Mst E 2-,W,Mst E ,2-,2,Sweep,N,,
35,W Mst F 1X,W,Mst F ,1X,1,Scull,N,,
36,Mx A-C 4X-,Mx,Mst A-C ,4X-,4,Scull,N,,
37,M D-F 8+,M,Mst D-F ,8+,8,Sweep,Y,,
41,M Mst A 4X-,M,Mst A ,4X-,4,Scull,N,,
42,W Mst B 1X,W,Mst B ,1X,1,Scull,N,,
43,W Mst A 2X,W,Mst A ,2X,2,Scull,N,,
44,W Mst C 1X,W,Mst C ,1X,1,Scull,N,,
46,M Mst C 4X-,M,Mst C ,4X-,4,Scull,N,,
47,M Mst B 1X,M,Mst B ,1X,1,Scull,N,,
48E,Mx MNw 2X (E),Mx,Mst MNw,2X,2,Scull,N,Exhibition ,
48,Mx MNv 2X,Mx,Mst MNv,2X,2,Scull,N,,
49,Mx G-M 4X-,Mx,Mst G-M ,4X-,4,Scull,N,,
50,Mx D-F 8+,Mx,Mst D-F ,8+,8,Sweep,Y,,
54,M Mst F 2-,M,Mst F ,2-,2,Sweep,N,,
55,M Mst E 1X,M,Mst E ,1X,1,Scull,N,,
56,W Mst F 2-,W,Mst F ,2-,2,Sweep,N,,
57,W Mst E 1X,W,Mst E ,1X,1,Scull,N,,
58,W Mst G 4X-,W,Mst G ,4X-,4,Scull,N,,
59,M G-M 2-,M,Mst G-M ,2-,2,Sweep,N,,
60E,W MNw 1X (E),W,Mst MNw,1X,1,Scull,N,Exhibition ,
60,W MNv 2X,W,Mst MNv,2X,2,Scull,N,,
61,Mx E-M 4-,Mx,Mst E-M ,4-,4,Sweep,N,,
63,Mx A-D 4-,Mx,Mst A-D ,4-,4,Sweep,N,,
64E,M MNw 1X (E),M,Mst MNw,1X,1,Scull,N,Exhibition ,
64,M MNv 2X,M,Mst MNv,2X,2,Scull,N,,
68,Mx D-F 2X,Mx,Mst D-F ,2X,2,Scull,N,,
69E,M MNw 2X (E),M,Mst MNw,2X,2,Scull,N,Exhibition ,
69,M MNv 4+,M,Mst MNv,4+,4,Sweep,Y,,
70,W Mst A 4X-,W,Mst A ,4X-,4,Scull,N,,
71,W Mst B 2X,W,Mst B ,2X,2,Scull,N,,
72,W Mst C 4X-,W,Mst C ,4X-,4,Scull,N,,
73,W G-M 2-,W,Mst G-M ,2-,2,Sweep,N,,
74,M G-M 4X-,M,Mst G-M ,4X-,4,Scull,N,,
75,M A-C 8+,M,Mst A-C ,8+,8,Sweep,Y,,
79,M Mst D 2X,M,Mst D ,2X,2,Scull,N,,
80E,W MNw 2X (E),W,Mst MNw,2X,2,Scull,N,Exhibition ,
80,W MNv 4+,W,Mst MNv,4+,4,Sweep,Y,,
81,W Mst E 2X,W,Mst E ,2X,2,Scull,N,,
82,M Mst F 1X,M,Mst F ,1X,1,Scull,N,,
83,W Mst D 2-,W,Mst D ,2-,2,Sweep,N,,
85,M H-M 2X,M,Mst H-M ,2X,2,Scull,N,,
86,W Mst F 2X,W,Mst F ,2X,2,Scull,N,,
87,W Mst G 1X,W,Mst G ,1X,1,Scull,N,,
88,M Mst G 2X,M,Mst G ,2X,2,Scull,N,,
89,M Mst E 4X-,M,Mst E ,4X-,4,Scull,N,,
90,Mx A-C 8+,Mx,Mst A-C ,8+,8,Sweep,Y,,
94,M Mst E 2X,M,Mst E ,2X,2,Scull,N,,
95,Mx A-C 2X,Mx,Mst A-C ,2X,2,Scull,N,,
96,M Mst D 4X-,M,Mst D ,4X-,4,Scull,N,,
97,M Mst I 1X,M,Mst I ,1X,1,Scull,N,,
98,M J-M 1X,M,Mst J-M ,1X,1,Scull,N,,
99E,Mx MNw 4X+ (E),Mx,Mst MNw,4X+,4,Scull,Y,Exhibition ,
99,Mx MNv 4X+,Mx,Mst MNv,4X+,4,Scull,Y,,
100,M Mst H 1X,M,Mst H ,1X,1,Scull,N,,
101,M Mst G 1X,M,Mst G ,1X,1,Scull,N,,
102,M Mst F 4X-,M,Mst F ,4X-,4,Scull,N,,
103,W D-F 8+,W,Mst D-F ,8+,8,Sweep,Y,,
107,W D-F 4-,W,Mst D-F ,4-,4,Sweep,N,,
108,W A-C 2-,W,Mst A-C ,2-,2,Sweep,N,,
109,M Mst C 2X,M,Mst C ,2X,2,Scull,N,,
110,M D-F 4-,M,Mst D-F ,4-,4,Sweep,N,,
111,M Mst A 2X,M,Mst A ,2X,2,Scull,N,,
112,M Mst B 4X-,M,Mst B ,4X-,4,Scull,N,,
117,W Mst D 4X-,W,Mst D ,4X-,4,Scull,N,,
118,M Mst D 2-,M,Mst D ,2-,2,Sweep,N,,
119,W A-C 4-,W,Mst A-C ,4-,4,Sweep,N,,
120,M A-C 4-,M,Mst A-C ,4-,4,Sweep,N,,
